Site ID,Energy Consumption (kWh),Date
CCC1150,285.65,1/27/2020
CCC1150,323.12,1/28/2020
CCC1150,313.39,1/29/2020
CCC1150,298.77,1/30/2020
CCC1150,249.76,1/31/2020
CCC1150,56.22,02-01-2020
CCC1150,56.16,02-02-2020
CCC1150,187.97,02-03-2020
CCC1150,264.75,02-04-2020
CCC1150,386.43,02-05-2020
CCC1150,408.32,02-06-2020
CCC1150,298.3,02-07-2020
CCC1150,55.21,02-08-2020
CCC1150,54.32,02-09-2020
CCC1150,300.29,02-10-2020
CCC1150,306.46,02-11-2020
CCC1150,330.31,02-12-2020
CCC1150,325.66,2/13/2020
CCC1150,263,2/14/2020
CCC1150,57.07,2/15/2020
CCC1150,56.73,2/16/2020
CCC1150,262.39,2/17/2020
CCC1150,337.27,2/18/2020
CCC1150,301.8,2/19/2020
CCC1150,308.26,2/20/2020
CCC1150,195.4,2/21/2020
CCC1150,63.07,2/22/2020
CCC1150,61.38,2/23/2020
CCC1150,249.44,2/24/2020
CCC1150,281.49,2/25/2020
CCC1150,308.8,2/26/2020
CCC1150,290.35,2/27/2020
CCC1150,288.84,2/28/2020
CCC1150,57.61,2/29/2020
CCC1150,55.99,03-01-2020
CCC1150,305.6,03-02-2020
CCC1150,292.63,03-03-2020
CCC1150,293.68,03-04-2020
CCC1150,298.98,03-05-2020
CCC1150,240.25,03-06-2020
CCC1150,58.96,03-07-2020
CCC1150,55.25,03-08-2020
CCC1150,255.64,03-09-2020
CCC1150,264.73,03-10-2020
CCC1150,288.76,03-11-2020
CCC1150,299.58,03-12-2020
CCC1150,291.14,3/13/2020
CCC1150,65.16,3/14/2020
CCC1150,64.33,3/15/2020
CCC1150,294.21,3/16/2020
CCC1150,310.98,3/17/2020
CCC1150,282.62,3/18/2020
CCC1150,299.9,3/19/2020
CCC1150,244.33,3/20/2020
CCC1150,57.34,3/21/2020
CCC1150,57.07,3/22/2020
CCC1150,240.95,3/23/2020
CCC1150,269.66,3/24/2020
CCC1150,268.03,3/25/2020
CCC1150,281.2,3/26/2020
CCC1150,265.26,3/27/2020
CCC1150,59.47,3/28/2020
CCC1150,59.3,3/29/2020
CCC1150,275.86,3/30/2020
CCC1150,266.95,3/31/2020
CCC1150,241.25,04-01-2020
CCC1150,260.92,04-02-2020
CCC1150,186.06,04-03-2020
CCC1150,56.58,04-04-2020
CCC1150,56.51,04-05-2020
CCC1150,181.4,04-06-2020
CCC1150,190.02,04-07-2020
CCC1150,244.19,04-08-2020
CCC1150,234.31,04-09-2020
CCC1150,198.11,04-10-2020
CCC1150,58.04,04-11-2020
CCC1150,57.85,04-12-2020
CCC1150,220.07,4/13/2020
CCC1150,247.26,4/14/2020
CCC1150,263.88,4/15/2020
CCC1150,253.09,4/16/2020
CCC1150,211.7,4/17/2020
CCC1150,66.18,4/18/2020
CCC1150,67.07,4/19/2020
CCC1150,230.34,4/20/2020
CCC1150,266.71,4/21/2020
CCC1150,246.23,4/22/2020
CCC1150,322.05,4/23/2020
CCC1150,283.41,4/24/2020
CCC1150,62.64,4/25/2020
CCC1150,62.52,4/26/2020
CCC1150,224.83,4/27/2020
CCC1150,277.2,4/28/2020
CCC1150,239.44,4/29/2020
CCC1150,140.11,4/30/2020
CCC1150,96.6,05-01-2020
CCC1150,60.69,05-02-2020
CCC1150,59.66,05-03-2020
CCC1150,235.36,05-04-2020
CCC1150,189.53,05-05-2020
CCC1150,222.47,05-06-2020
CCC1150,267.07,05-07-2020
CCC1150,233.26,05-08-2020
CCC1150,88.67,05-09-2020
CCC1150,77.51,05-10-2020
CCC1150,250.71,05-11-2020
CCC1150,240.76,05-12-2020
CCC1150,276.54,5/13/2020
CCC1150,234.56,5/14/2020
CCC1150,217.4,5/15/2020
CCC1150,59.95,5/16/2020
CCC1150,60.17,5/17/2020
CCC1150,205.69,5/18/2020
CCC1150,204.3,5/19/2020
CCC1150,225.9,5/20/2020
CCC1150,241.64,5/21/2020
CCC1150,245.66,5/22/2020
CCC1150,65.62,5/23/2020
CCC1150,69.29,5/24/2020
CCC1150,90.9,5/25/2020
CCC1150,290.72,5/26/2020
CCC1150,341.97,5/27/2020
CCC1150,386.22,5/28/2020
CCC1150,291.08,5/29/2020
CCC1150,66.99,5/30/2020
CCC1150,65.01,5/31/2020
CCC1150,270.56,06-01-2020
CCC1150,296.29,06-02-2020
CCC1150,281.41,06-03-2020
CCC1150,318.82,06-04-2020
CCC1150,258.97,06-05-2020
CCC1150,68.97,06-06-2020
CCC1150,84.53,06-07-2020
CCC1150,249.03,06-08-2020
CCC1150,289.84,06-09-2020
CCC1150,318.02,06-10-2020
CCC1150,304.15,06-11-2020
CCC1150,287.83,06-12-2020
CCC1150,60.17,6/13/2020
CCC1150,61.16,6/14/2020
CCC1150,287.71,6/15/2020
CCC1150,265.21,6/16/2020
CCC1150,280.24,6/17/2020
CCC1150,332.14,6/18/2020
CCC1150,309.17,6/19/2020
CCC1150,88.56,6/20/2020
CCC1150,91.8,6/21/2020
CCC1150,331.53,6/22/2020
CCC1150,338.99,6/23/2020
CCC1150,344.37,6/24/2020
CCC1150,353.91,6/25/2020
CCC1150,280.72,6/26/2020
CCC1150,85.62,6/27/2020
CCC1150,66.54,6/28/2020
CCC1150,263.03,6/29/2020
CCC1150,327.16,6/30/2020
CCC1150,330.44,07-01-2020
CCC1150,297.59,07-02-2020
CCC1150,99.37,07-03-2020
CCC1150,76.51,07-04-2020
CCC1150,85.04,07-05-2020
CCC1150,326.75,07-06-2020
CCC1150,287.25,07-07-2020
CCC1150,323.1,07-08-2020
CCC1150,280.25,07-09-2020
CCC1150,264.66,07-10-2020
CCC1150,96.4,07-11-2020
CCC1150,103.85,07-12-2020
CCC1150,287.6,7/13/2020
CCC1150,309.55,7/14/2020
CCC1150,308.67,7/15/2020
CCC1150,325.19,7/16/2020
CCC1150,275.92,7/17/2020
CCC1150,80.22,7/18/2020
CCC1150,84.92,7/19/2020
CCC1150,302.2,7/20/2020
CCC1150,301.8,7/21/2020
CCC1150,320.49,7/22/2020
CCC1150,299.92,7/23/2020
CCC1150,320.81,7/24/2020
CCC1150,82.14,7/25/2020
CCC1150,89.3,7/26/2020
CCC1150,300.6,7/27/2020
CCC1150,330.59,7/28/2020
